Provinsi,2018,2019,2020
ACEH,"5 243,4","5 316,3","5 388,1"
SUMATERA UTARA,"14 476,0","14 639,4","14 798,4"
SUMATERA BARAT,"5 411,8","5 479,5","5 545,7"
RIAU,"6 717,6","6 835,1","6 951,2"
JAMBI,"3 527,1","3 566,2","3 604,2"
SUMATERA SELATAN,"8 391,5","8 497,2","8 600,8"
BENGKULU,"1 948,6","1 971,8","1 994,3"
LAMPUNG,"8 377,7","8 457,6","8 534,8"
KEP. BANGKA BELITUNG,"1 432,1","1 451,1","1 469,8"
KEP. RIAU,"2 174,8","2 241,6","2 309,5"
DKI JAKARTA,"10 428,0","10 504,1","10 576,4"
JAWA BARAT,"48 475,5","49 023,2","49 565,2"
JAWA TENGAH,"34 358,5","34 552,5","34 738,2"
DI YOGYAKARTA,"3 818,3","3 868,6","3 919,2"
JAWA TIMUR,"39 521,9","39 744,8","39 955,9"
BANTEN,"12 530,8","12 714,3","12 895,3"
BALI,"4 309,2","4 362,0","4 414,4"
NUSA TENGGARA BARAT,"5 077,7","5 152,4","5 225,9"
NUSA TENGGARA TIMUR,"5 360,3","5 437,2","5 513,4"
KALIMANTAN BARAT,"4 985,1","5 045,7","5 104,9"
KALIMANTAN TENGAH,"2 612,6","2 649,8","2 686,3"
KALIMANTAN SELATAN,"4 162,4","4 216,3","4 268,6"
KALIMANTAN TIMUR,"3 573,8","3 619,7","3 664,7"
KALIMANTAN UTARA,"682,8","695,6","708,4"
SULAWESI UTARA,"2 474,4","2 494,1","2 512,9"
SULAWESI TENGAH,"3 001,9","3 042,1","3 081,7"
SULAWESI SELATAN,"8 748,1","8 819,5","8 888,8"
SULAWESI TENGGARA,"2 623,6","2 663,7","2 703,5"
GORONTALO,"1 166,1","1 176,4","1 186,3"
SULAWESI BARAT,"1 340,1","1 359,2","1 378,1"
MALUKU,"1 749,5","1 768,5","1 787,1"
MALUKU UTARA,"1 218,8","1 235,7","1 252,3"
PAPUA BARAT,"941,4","963,6","986,0"
PAPUA,"3 300,2","3 347,1","3 393,1"
INDONESIA,"264 161,6","266 911,9","269 603,4"
